Magnitude,Location,Lat,Lon
3,Atlanta,33.1136,-94.1672
3,Austin,30.3006,-97.7517
3,Round Rock,30.5252,-97.6659
3,Cedar Park,30.5105,-97.8198
3,Boulder,42.7461,-109.7067
3,Boston,37.6039,-75.8437
3,Chicago,41.8373,-87.6861
3,Washington,38.7122,-78.1599
3,Los Angeles,28.4658,-99
3,Cambridge,43.0071,-89.0214
3,Mountain View,19.5358,-155.1596
3,Manhattan,40.7834,-73.9662
3,New York,32.1679,-95.6691
3,Jersey City,40.7161,-74.0682
3,Newark,39.6776,-75.7573
3,Oakland,28.5537,-81.6339
3,Bronx,42.9927,-110.1157
3,Hoboken,40.7453,-74.0279
3,Brooklyn,46.7762,-123.5099
3,Rutherford,40.8203,-74.1057
3,Union,47.3475,-123.0952
3,Rahway,40.6077,-74.2807
3,Murray Hill,38.2907,-85.5871
3,South Plainfield,40.5748,-74.4153
3,Queens,40.7498,-73.7976
3,Little Falls,43.0452,-74.8566
3,Florham Park,40.7772,-74.3953
3,Troy Hills,40.8529,-74.3921
3,Bloomfield,36.7398,-107.9733
3,Lynbrook,40.6579,-73.6742
3,Allendale,42.8147,-106.3106
3,Parsippany,40.8579,-74.426
3,West Orange,30.0791,-93.7599
3,Kenilworth,40.6781,-74.289
3,Ridgefield,45.8116,-122.7052
3,Harrison,44.1923,-88.2913
3,Montclair,38.6111,-77.34
3,Fort Lee,40.8509,-73.9712
3,Carlstadt,40.8247,-74.0613
3,Orangeburg,41.0487,-73.9407
3,Fairfield,47.3848,-117.1748
3,Palisades,47.419,-119.9145
3,Hackensack,40.889,-74.0461
3,Roseland,27.8361,-80.4884
3,East Hanover,40.8201,-74.3649
3,Long Beach,46.3559,-124.0557
3,Whippany,40.8245,-74.4171
3,Manhasset,40.7884,-73.6943
3,Yonkers,40.9466,-73.8674
3,New Hyde Park,40.7324,-73.6857
3,Secaucus,40.781,-74.0659
3,Port Washington,43.3847,-87.8852
3,Staten Island,40.5834,-74.1496
3,Short Hills,40.7389,-74.3278
3,Manhattanville,#N/A,#N/A
3,Woodcliff Lake,41.0253,-74.0604
3,Redmond,47.6762,-122.1166
3,San Diego,27.7609,-98.2389
3,Bedminster,40.6807,-74.6454
3,New Brunswick,40.487,-74.445
3,Seattle,47.6211,-122.3244
3,San Francisco,37.7562,-122.443
3,Redwood City,37.5026,-122.2252
3,San Mateo,35.3317,-107.6469
3,Berkeley,28.5028,-82.5887
3,San Francisco Bay Area,#N/A,#N/A
3,Menlo Park,37.4686,-122.1671
3,Emeryville,37.8382,-122.2932
3,Oakland,28.5537,-81.6339
3,South San Francisco,37.6536,-122.4197
3,Foster City,37.5553,-122.2659
3,San Carlos,26.2957,-98.063
3,Union City,40.7674,-74.0323
3,Burlingame,37.586,-122.3669
3,Belmont,47.0879,-117.1624
3,Richmond,37.5295,-77.4756
3,Hayward,46.0094,-91.4826
3,Novato,38.092,-122.5576
3,Alameda,35.1867,-106.6181
3,San Rafael,35.0878,-107.8895
3,Pleasant Hill,47.6154,-121.9096
3,San Bruno,37.6254,-122.4313
3,San Ramon,37.7625,-121.9365
3,Lafayette,37.233,-80.2051
3,San Leandro,37.7071,-122.1601
3,Daly City,37.6863,-122.4684
3,Mill Valley,37.9085,-122.542
3,Fremont,44.2602,-88.8715
3,Martinez,37.9985,-122.116
3,Walnut Creek,35.305,-77.8714
3,Kentfield,37.9481,-122.5497
3,Sunnyvale,32.7974,-96.5577
