name,word,count
data,data,40
experience,experience,32
work,work,19
team,team,16
research,research,15
skills,skills,13
development,development,12
business,business,12
ability,ability,10
learning,learning,10
years,years,9
science,science,9
new,new,9
analysis,analysis,9
including,including,9
management,management,8
working,working,8
design,design,8
technical,technical,8
required,required,8
support,support,8
software,software,7
strong,strong,7
machine,machine,7
product,product,7
knowledge,knowledge,7
engineering,engineering,7
systems,systems,7
related,related,7
degree,degree,7
environment,environment,6
teams,teams,6
develop,develop,6
solutions,solutions,6
information,information,6
analytics,analytics,6
qualifications,qualifications,6
opportunity,opportunity,6
position,position,6
